,name,nationality,clubName,ErrChance,ErrGoal,PossLostP90,OffsideP90
133,Paul Pogba,France,Manchester United FC,1,1,16.96,0.15
134,Harry Maguire,England,Manchester United FC,0,0,9.48,0.16
135,Nathan Aké,Netherlands,AFC Bournemouth,0,0,6.11,0.11
136,John Stones,England,Manchester City FC,2,0,5.23,0.08
137,Jamaal Lascelles,England,Newcastle United FC,0,1,8.01,0.09
138,Paulo Gazzaniga,Argentina,Tottenham Hotspur FC,0,1,10.39,0.00
139,Jordon Ibe,England,AFC Bournemouth,0,0,,
140,Jesús Vallejo,Spain,Wolverhampton Wanderers FC,1,0,15.55,0.00
141,James Ward-Prowse,England,Southampton FC,1,0,15.76,0.00
142,Ryan Fredericks,England,West Ham United FC,1,0,15.21,0.00
143,Ben Davies,Wales,Tottenham Hotspur FC,0,0,17.03,0.06
144,Michael Keane,England,Everton FC,0,0,9.19,0.00
145,Paul Dummett,Wales,Newcastle United FC,0,0,11.28,0.00
146,Luke Shaw,England,Manchester United FC,1,0,11.52,0.21
147,Jack Grealish,England,Aston Villa FC,0,1,14.42,0.11
148,Jesse Lingard,England,Manchester United FC,0,0,10.23,0.00
149,Calum Chambers,England,Arsenal FC,1,0,17.78,0.00
150,Héctor Bellerín,Spain,Arsenal FC,1,0,13.19,0.07
151,Andreas Christensen,Denmark,Chelsea FC,0,0,6.32,0.00
152,Pedro,Spain,Chelsea FC,0,0,12.70,0.00
153,Sokratis Papastathopoulos,Greece,Arsenal FC,0,1,7.32,0.05
154,Henrikh Mkhitaryan,Armenia,Arsenal FC,0,0,25.95,0.81
155,PE Aubameyang,Gabon,Arsenal FC,0,0,11.79,0.58
156,Ralf Fährmann,Germany,Norwich City FC,0,0,,
157,Max Meyer,Germany,Crystal Palace FC,0,0,12.07,0.28
158,Joël Matip,Cameroon,Liverpool FC,0,0,11.91,0.00
159,Sead Kolašinac,Bosnia and Herzegovina,Arsenal FC,1,0,10.49,0.26
160,Antonio Rüdiger,Germany,Chelsea FC,0,1,11.31,0.00
161,Moritz Leitner,Germany,Norwich City FC,1,0,14.45,0.00
162,Leroy Sané,Germany,Manchester City FC,0,0,,
163,Sebastian Prödl,Austria,Watford FC,0,0,,
164,Mateo Kovačić,Croatia,Chelsea FC,1,0,11.98,0.00
165,Bernd Leno,Germany,Arsenal FC,0,2,7.85,0.00
166,Son Heungmin,Korea Republic,Tottenham Hotspur FC,1,0,13.10,0.61
167,Timm Klose,Switzerland,Norwich City FC,0,0,10.46,0.00
168,Felipe Anderson,Brazil,West Ham United FC,0,0,19.63,0.12
169,Gerard Deulofeu,Spain,Watford FC,0,0,16.91,0.77
170,Christian Eriksen,Denmark,Tottenham Hotspur FC,0,0,19.29,0.16
171,Nabil Bentaleb,Algeria,Newcastle United FC,0,1,8.42,0.00
172,Pierre Emile Højbjerg,Denmark,Southampton FC,2,0,17.32,0.04
173,Xherdan Shaqiri,Switzerland,Liverpool FC,0,0,15.42,0.50
174,Adama Traoré,Spain,Wolverhampton Wanderers FC,2,0,19.68,0.17
175,Martín Montoya,Spain,Brighton & Hove Albion FC,0,0,16.48,0.19
176,Dimitri Foulquier,Guadeloupe,Watford FC,0,0,,
177,Odion Ighalo,Nigeria,Manchester United FC,0,0,14.00,1.00
178,Isaac Success,Nigeria,Watford FC,0,0,,
179,Mesut Özil,Germany,Arsenal FC,0,0,12.80,0.37
180,Claudio Bravo,Chile,Manchester City FC,1,0,7.54,0.00
181,Gaëtan Bong,Cameroon,Brighton & Hove Albion FC,0,0,,
182,Nicolás Otamendi,Argentina,Manchester City FC,1,1,6.89,0.00
183,Diogo Dalot,Portugal,Manchester United FC,0,0,,
184,Mamadou Sakho,France,Crystal Palace FC,1,1,7.84,0.00
185,Angelo Ogbonna,Italy,West Ham United FC,1,0,8.20,0.00
186,Bruno Fernandes,Portugal,Manchester United FC,0,0,22.86,0.15
187,Roberto Pereyra,Argentina,Watford FC,1,0,12.74,0.32
188,Adrián,Spain,Liverpool FC,1,2,7.73,0.00
189,James Tomkins,England,Crystal Palace FC,0,0,8.47,0.05
190,Mark Noble,England,West Ham United FC,1,0,12.71,0.04
191,Matt Targett,England,Aston Villa FC,1,0,15.14,0.00
192,Victor Wanyama,Kenya,Tottenham Hotspur FC,0,0,,
193,Federico Fernández,Argentina,Newcastle United FC,1,0,11.96,0.07
194,Marcos Rojo,Argentina,Manchester United FC,0,0,15.75,0.00
195,Bernard,Brazil,Everton FC,0,0,16.52,0.00
196,Willian,Brazil,Chelsea FC,0,0,17.28,0.14
197,Rui Patrício,Portugal,Wolverhampton Wanderers FC,0,2,8.00,0.00
198,João Moutinho,Portugal,Wolverhampton Wanderers FC,1,0,13.82,0.09
199,José Holebas,Greece,Watford FC,0,0,19.60,0.00
200,Toby Alderweireld,Belgium,Tottenham Hotspur FC,2,0,12.02,0.03
201,Divock Origi,Belgium,Liverpool FC,0,0,16.52,0.00
