Age,Ranking,Name,Nationality,Image,ClubShortName,ClubImage,Unnamed: 8,ClubName,ClubNation,ClubNation(S),Position2,FamilyName2,MinutesPlayed,YellowCard,RedCard,Goals,Assists,Clean,TournamentPlayed,GameStarted,SubstituteAppearance,MinutesPlayed2,Pen,PenSaves,TouchesP90,OffsideP90,RecovP90,LastManTackles,CrossesP90,SavesP90,GoalConP90,FouledP90,FoulsP90,InterceptP90,ClearP90,ShotsP90,TargetsP90,LongBallsP90,FinalThirdP90,PossLostP90,BlockedP90,ErrGoal,ErrChance,PassP90,PassComp%,DribblesP90,MOM,AvgRating,Decisive,First,Nationality(S),ProfileWeb,ClubProfileWeb,NationProfile,Conceded,FamilyName,Position,posNr,Position(S),GoalP90,NonPenGoalP90,ShotAcc%,ConvRate%,AssP90,G+A,ContP90,NonPenContP90,ContSpread,BChances,TacklesWon%,AerialsWon%,DuelsWon%,H,A,fifa_name
26,80.0,Nathan Redmond,England,https://www.sportsbase.io/images/people/4137.png,Southampton,https://www.sportsbase.io/images/clubs/506.png,35.29,Southampton FC,England,GB,"M (L),<BR />F (C)",Redmond,2770,2,0,4,4,7,32,32,0,2769.0,0.0,0.0,51.52,0.16,6.73,,1.37,0.0,1.66,1.01,0.75,0.49,0.3,1.92,0.68,3.41,15.83,15.8,0.46,0,0,32.83,73.86,2.5,2.0,6.6,1.0,1.0,GB,https://www.footballcritic.com/nathan-redmond/profile/4137,https://www.footballcritic.com/southampton-fc/squad/506,https://www.footballcritic.com/england/area-info/68,51,Redmond,Midfielder,5,"M&nbsp;(L),&nbsp;F&nbsp;(C)",0.13,0.13,35.59,6.78,0.13,8.0,0.26,0.26,22.58,6,55.0,29.0,48.0,0.0,4.0,N. Redmond
26,80.0,Ross Barkley,England,https://www.sportsbase.io/images/people/4179.png,Chelsea,https://www.sportsbase.io/images/clubs/471.png,0.0,Chelsea FC,England,GB,M (C),Barkley,1104,0,0,1,4,7,21,13,8,1104.0,0.0,0.0,68.15,0.0,5.54,,0.98,0.0,1.14,1.22,0.74,0.65,0.65,3.26,0.98,4.16,19.49,12.23,1.31,0,0,49.64,89.16,2.12,2.0,6.7,0.0,0.0,GB,https://www.footballcritic.com/ross-barkley/profile/4179,https://www.footballcritic.com/chelsea-fc/squad/471,https://www.footballcritic.com/england/area-info/68,14,Barkley,Midfielder,5,M&nbsp;(C),0.08,0.08,30.0,2.5,0.32,5.0,0.41,0.41,25.0,3,56.0,48.0,47.0,1.0,0.0,R. Barkley
28,68.0,Jeff Hendrick,Republic of Ireland,https://www.sportsbase.io/images/people/4239.png,Burnley,https://www.sportsbase.io/images/clubs/492.png,18.18,Burnley FC,England,GB,M (RC),Hendrick,1935,8,0,2,2,10,24,22,2,1935.0,0.0,0.0,40.46,0.19,4.98,,1.44,0.0,1.4,0.75,0.79,0.88,0.7,1.03,0.28,2.7,8.14,12.14,0.37,0,0,25.21,75.28,1.03,0.0,6.1,2.0,1.0,IE,https://www.footballcritic.com/jeff-hendrick/profile/4239,https://www.footballcritic.com/burnley-fc/squad/492,https://www.footballcritic.com/republic-of-ireland/area-info/98,30,Hendrick,Midfielder,5,M&nbsp;(RC),0.09,0.09,27.27,9.09,0.09,4.0,0.19,0.19,17.39,2,59.0,59.0,42.0,1.0,1.0,J. Hendrick
27,88.0,Harry Kane,England,https://www.sportsbase.io/images/people/4245.png,Tottenham,https://www.sportsbase.io/images/clubs/472.png,57.14,Tottenham Hotspur FC,England,GB,S (C),Kane,2590,4,0,18,2,6,29,29,0,2590.0,2.0,0.0,34.34,0.69,2.43,,0.73,0.0,1.25,1.53,1.29,0.17,1.04,2.85,1.29,1.94,10.49,11.75,0.66,0,0,19.12,66.18,0.97,3.0,6.7,6.0,4.0,GB,https://www.footballcritic.com/harry-kane/profile/4245,https://www.footballcritic.com/tottenham-hotspur-fc/squad/472,https://www.footballcritic.com/england/area-info/68,36,Kane,Striker,8,S&nbsp;(C),0.62,0.56,45.12,21.95,0.07,20.0,0.69,0.62,51.72,3,71.0,39.0,43.0,9.0,9.0,H. Kane
33,80.0,Jamie Vardy,England,https://www.sportsbase.io/images/people/4257.png,Leicester City,https://www.sportsbase.io/images/clubs/489.png,50.0,Leicester City FC,England,GB,S (C),Vardy,3034,2,0,23,5,12,35,34,1,3034.0,4.0,0.0,23.46,0.83,1.31,,0.98,0.0,1.13,0.36,0.57,0.06,0.66,2.64,1.28,0.39,6.55,7.3,0.53,0,0,13.02,71.53,0.71,1.0,6.7,3.0,7.0,GB,https://www.footballcritic.com/jamie-vardy/profile/4257,https://www.footballcritic.com/leicester-city-fc/squad/489,https://www.footballcritic.com/england/area-info/68,38,Vardy,Striker,8,S&nbsp;(C),0.68,0.57,48.31,25.84,0.14,28.0,0.83,0.71,52.94,11,82.0,36.0,40.0,12.0,11.0,J. Vardy
25,93.0,Raheem Sterling,England,https://www.sportsbase.io/images/people/4263.png,Man City,https://www.sportsbase.io/images/clubs/464.png,52.94,Manchester City FC,England,GB,"W,<BR />AM (L)",Sterling,2659,5,0,20,1,13,33,30,3,2660.0,0.0,0.0,59.11,0.41,3.25,,1.69,0.0,1.05,1.35,1.02,0.48,0.14,3.38,1.32,0.64,21.58,14.75,1.05,0,0,39.18,82.99,1.83,3.0,7.3,5.0,7.0,GB,https://www.footballcritic.com/raheem-sterling/profile/4263,https://www.footballcritic.com/manchester-city-fc/squad/464,https://www.footballcritic.com/england/area-info/68,31,Sterling,Winger,7,"W,&nbsp;AM&nbsp;(L)",0.68,0.68,39.0,20.0,0.04,21.0,0.71,0.71,48.39,9,59.0,41.0,42.0,6.0,14.0,R. Sterling
27,47.0,Ravel Morrison,Jamaica,https://www.footballcritic.com/images/no_player4.png,Sheffield Utd,https://www.sportsbase.io/images/clubs/480.png,,Sheffield United FC,England,GB,"AM,<BR />M (C)",Morrison,12,0,0,0,0,0,1,0,1,,0.0,0.0,,,,,,,,,,,,,,,,,,0,0,,,,,,0.0,0.0,JM,https://www.footballcritic.com/ravel-morrison/profile/4285,https://www.footballcritic.com/sheffield-united-fc/squad/480,https://www.footballcritic.com/jamaica/area-info/101,0,Morrison,Attacking midfielder,6,"AM,&nbsp;M&nbsp;(C)",,,,,,,,,,0,,,,0.0,0.0,R. Morrison
27,77.0,Conor Coady,England,https://www.sportsbase.io/images/people/4418.png,Wolves,https://www.sportsbase.io/images/clubs/459.png,0.0,Wolverhampton Wanderers FC,England,GB,D (C),Coady,3420,5,0,0,0,13,38,38,0,3420.0,0.0,0.0,54.74,0.0,6.47,3.0,0.0,0.0,1.05,0.18,0.42,0.71,2.93,0.0,0.0,11.84,5.27,7.5,0.0,2,0,48.21,84.77,0.14,0.0,6.5,0.0,0.0,GB,https://www.footballcritic.com/conor-coady/profile/4418,https://www.footballcritic.com/wolverhampton-wanderers-fc/squad/459,https://www.footballcritic.com/england/area-info/68,40,Coady,Defender,2,D&nbsp;(C),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,65.0,57.0,58.0,0.0,0.0,C. Coady
27,77.0,Paul Pogba,France,https://www.sportsbase.io/images/people/4421.png,Man Utd,https://www.sportsbase.io/images/clubs/475.png,33.33,Manchester United FC,England,GB,"DM,<BR />M (C)",Pogba,1204,1,0,1,3,6,16,13,3,1205.0,0.0,0.0,93.21,0.15,8.06,,0.45,0.0,0.68,1.42,1.94,0.37,0.75,1.65,0.59,9.26,25.4,16.96,0.37,1,1,76.41,85.63,2.02,1.0,6.9,0.0,0.0,FR,https://www.footballcritic.com/paul-pogba/profile/4421,https://www.footballcritic.com/manchester-united-fc/squad/475,https://www.footballcritic.com/france/area-info/76,9,Pogba,Defensive midfielder,4,"DM,&nbsp;M&nbsp;(C)",0.07,0.07,36.36,4.55,0.23,4.0,0.3,0.3,23.08,3,40.0,72.0,52.0,0.0,1.0,P. Pogba
28,86.0,Harry Maguire,England,https://www.sportsbase.io/images/people/4452.png,Man Utd,https://www.sportsbase.io/images/clubs/475.png,5.26,Manchester United FC,England,GB,D (C),Maguire,3420,6,0,1,1,13,38,38,0,3420.0,0.0,0.0,78.08,0.16,6.16,,0.05,0.0,0.95,0.58,0.86,1.97,3.95,0.82,0.21,7.84,8.63,9.48,0.16,0,0,66.24,86.81,0.18,3.0,7.0,0.0,0.0,GB,https://www.footballcritic.com/harry-maguire/profile/4452,https://www.footballcritic.com/manchester-united-fc/squad/475,https://www.footballcritic.com/england/area-info/68,36,Maguire,Defender,2,D&nbsp;(C),0.03,0.03,25.81,3.23,0.03,2.0,0.05,0.05,5.26,1,58.0,71.0,65.0,0.0,1.0,H. Maguire
25,75.0,Nathan Aké,Netherlands,https://www.sportsbase.io/images/people/4457.png,Bournemouth,https://www.sportsbase.io/images/clubs/2169.png,7.69,AFC Bournemouth,England,GB,D (CL),Aké,2505,2,0,2,2,4,29,29,0,2505.0,0.0,0.0,56.33,0.11,5.0,,0.14,0.0,1.66,0.47,0.32,1.19,5.32,0.9,0.25,3.88,4.46,6.11,0.22,0,0,42.62,87.61,0.11,0.0,6.6,1.0,1.0,NL,https://www.footballcritic.com/nathan-ake/profile/4457,https://www.footballcritic.com/afc-bournemouth/squad/2169,https://www.footballcritic.com/netherlands/area-info/138,46,Ake,Defender,2,D&nbsp;(CL),0.07,0.07,28.0,8.0,0.07,4.0,0.14,0.14,14.81,1,72.0,49.0,56.0,1.0,1.0,N. Aké
26,78.0,John Stones,England,https://www.sportsbase.io/images/people/4496.png,Man City,https://www.sportsbase.io/images/clubs/464.png,0.0,Manchester City FC,England,GB,D (C),Stones,1119,0,0,0,0,7,16,12,4,1119.0,0.0,0.0,90.16,0.08,5.47,,0.0,0.0,1.29,0.08,0.41,0.64,2.33,0.49,0.08,5.07,10.05,5.23,0.08,0,2,82.6,94.16,0.32,0.0,6.9,0.0,0.0,GB,https://www.footballcritic.com/john-stones/profile/4496,https://www.footballcritic.com/manchester-city-fc/squad/464,https://www.footballcritic.com/england/area-info/68,16,Stones,Defender,2,D&nbsp;(C),0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,64.0,67.0,0.0,0.0,J. Stones
26,72.0,Jamaal Lascelles,England,https://www.sportsbase.io/images/people/4524.png,Newcastle,https://www.sportsbase.io/images/clubs/466.png,0.0,Newcastle United FC,England,GB,D (C),Lascelles,2079,5,0,1,0,8,24,24,0,2079.0,0.0,0.0,47.49,0.09,5.41,,0.0,0.0,1.34,0.78,0.95,1.25,4.85,0.34,0.09,4.98,3.03,8.01,0.05,1,0,36.41,80.02,0.17,1.0,6.3,0.0,1.0,GB,https://www.footballcritic.com/jamaal-lascelles/profile/4524,https://www.footballcritic.com/newcastle-united-fc/squad/466,https://www.footballcritic.com/england/area-info/68,31,Lascelles,Defender,2,D&nbsp;(C),0.05,0.05,25.0,12.5,0.0,1.0,0.05,0.05,4.35,0,20.0,62.0,58.0,1.0,0.0,J. Lascelles
